Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
HV1;Elizabeth Torres;Clinical Social Work Journal;None;1997-2017;1987-1996;SCELC Springer Nature 2016 eJournals - Hosted by Springer|
HS2501;All;Club Management;None;None;2003-2003;None
Z671;Crystal Boyce;College and Research Libraries;1993-2008;from 1939;1993-2008;Directory of Open Access Journals (All titles)|
Z671;Crystal Boyce;College and Research Libraries News;None;from 2004;1993-1995;Free Access Journals|
PE1001;Ruth Hanlon;College Composition and Communication;None;None;1996-2007;None
PE1;Ruth Hanlon;College English;None;None;1978-2009;None
Religions And Theology - Judaic;All;Commentary;1990-1990;from 1990;1970-1990;U.S. History in Context|
AP2;Elizabeth Torres;Commonweal;1990-2002;from 1990;1989-2002;Religion and Philosophy Collection|
P91;Elizabeth Torres;Communication Research;1997-1998;1997-1998 from 1999;1990-1998;Academic OneFile|Business Insights: Global|
P87;Ruth Hanlon;Communication Theory;1994-1996;from 1991;1994-1996;Oxford University Press Journals Online|
TK5101.A1;All;Communications News;1992-1995;1984-2009;1992-1995;Academic OneFile|
JA3;Elizabeth Torres;Comparative Political Studies;1997-1998;1997-1998 from 1999;1987-1998;Nursing and Allied Health Collection|SAGE Premier 2018|
H1;Elizabeth Torres;Comparative Studies in Society and History;1988-2005;1958-2014;1988-2005;Cambridge Journals All titles|JSTOR Arts & Sciences II Collection|
HD4973.C643;Crystal Boyce;Compensation and Working Conditions;2001-2001;2001-2001 2007-2012;1997-2001;Business Source Complete|Business Insights: Global|
T385;Matthew Kanekoa;Computer Graphics World;1995-1998;from 1988;1995-1998;Academic Search Complete|Student Resources in Context|
QA76;All;The Computer Journal;None;None;1987-2007;None
Computers;All;Computer Technology Review;1999-2006;from 1999;1997-2006;Business Insights: Global|General OneFile|
RT50.5;Matthew Kanekoa;Computers in Nursing;1996-2002;1996-2002;1991-2002;LWW Total Access Collection 2015 - Q1 with Neurology|
QA76;All;Computerworld;1996-2004;1996-2016;1993-2004;EBSCO MAS Complete|
AP2;Crystal Boyce;Conde Nast Traveler;None;from 2008;1997-2007;EBSCO MasterFILE Complete|
No Call #;All;Congressional Record Index;None;None;1986-1988 1998-1998 2000-2001;None
No Call #;All;Congressional Record Index;None;None;1986-1988 1998-1998 2000-2001;None
No Call #;All;Congressional Record Index;None;None;1986-1988 1998-1998 2000-2001;None
QH75.A1;Lydia Lee;Conservation Biology;1996-2001;from 1987;1996-2001;Wiley Online Library All Journals 2018|JSTOR Life Sciences Collection|
QH76.5.N7;Lydia Lee;Conservationist;1990-1990;1990-1995 from 1995;1979-1990;EBSCO MasterFILE Complete|Science Reference Center|
QH76.5.N7;Lydia Lee;Conservationist;1990-1990;1990-1995 from 1995;1979-1990;EBSCO MasterFILE Complete|Science Reference Center|
Building And Construction - Abstracting, Bibliographies, Statistics;All;Construction Review;1984-1997;1984-1997;1984-1997;Business Source Complete|
CONSUMER EDUCATION AND PROTECTION;Lisa Hausman;Consumer Reports;None;from 1991;1981-1990;Academic OneFile|
CONSUMER EDUCATION AND PROTECTION;Lisa Hausman;Consumers' Research Magazine;1990-1990;1990-2004;1984-1990;EBSCO MAS Complete|
HD72;Crystal Boyce;Contemporary Economic Policy;1994-1996;1994-2017;1994-1996;Gale GREENR|
EDUCATION;Lisa Hausman;Contemporary Education;1997-2000;1997-2001;1983-2000;EBSCO MasterFILE Complete|
QC1;All;Contemporary Physics;1997-2007;from 1997;1996-2007;Taylor & Francis Journals (All Content)|
BF1;Tim Martin;Contemporary psychology;None;None;1996-2004;None
TX901;All;The Cornell Hotel and Restaurant Administration Quarterly;1991-1999;1991-2007;1981-1999;Academic OneFile|
TX901;All;The Cornell Hotel and Restaurant Administration Quarterly;1991-1999;1991-2007;1981-1999;Academic OneFile|
HV7231;Elizabeth Torres;Corrections today;1994-1998;from 1993;1994-1998;Open Access eJournals (McGill)|
BF637.C6;Tim Martin;Counseling Psychologist, The;1998-1998;1998-1998 from 1999;1987-1998;SAGE Premier 2018|General OneFile|
HF5601;Crystal Boyce;CPA Journal, The;1989-1998;from 1989;1989-1998;Business Collection|
H35;Elizabeth Torres;The CQ Researcher;1991-1999;from 1923;1991-1999;CQ Press|
HV6001;Elizabeth Torres;Crime and Delinquency;1997-1998;1997-1998 from 1999;1987-1998;SAGE Premier 2018|Academic OneFile|
HV9261;Tim Martin;Criminal Justice and Behavior;1997-1998;1997-1998 from 1999;1987-1998;Academic OneFile|General OneFile|
HV7231;Trenton Tubbs;Criminal Justice Ethics;1990-1998;from 1990;1990-1998;Legal Collection|EBSCO MasterFILE Complete|
HV6001;Elizabeth Torres;Criminology;None;None;2006-2008;None
RT120.I5;Elizabeth Torres;Critical Care Nurse;1996-2001;from 1981;1996-2001;General OneFile|Academic OneFile|
NX1;Elizabeth Torres;Critical Inquiry;None;None;1987-2001;None
BR1;Lisa Hausman;Cross Currents;1990-2002;from 1990;1976-2002;Humanities International Complete|General OneFile|
AP2;Elizabeth Torres;Current;2007-2008;2007-2016;1981-1982 1989-2008;Academic Search Complete|
AP2;Elizabeth Torres;Current;2007-2008;2007-2016;1981-1982 1989-2008;Academic Search Complete|
D410;Elizabeth Torres;Current History;None;None;1984-1999;None
BF1;Tim Martin;Current Psychology;None;1997-2017;1988-1989;Biography in Context|
Q11;Trenton Tubbs;Daedalus;None;1992-2012;1963-1991;Academic OneFile|
Dance;All;Dance Magazine;1994-1998;from 1994;1984-1998;EBSCO MasterFILE Complete|
TK5105.7;Matthew Kanekoa;Data Communications;1998-1999;1998-1999;1993-1999;General OneFile|
Z699.A1;Crystal Boyce;Database;1988-1998;1988-1999 from 2009;1988-1998;Professional Development Collection|Oxford Journals 2016 Open Access Collection|
BF789.D4;Tim Martin;Death Studies;1993-1993;from 1993;1987-1993;Psychology and Behavioral Sciences Collection|Academic Search Complete|
RL125;All;Dermatology Nursing;1999-2007;1996-2010;1999-2007;Consumer Health Complete|
BF699;Tim Martin;Developmental Psychology;1980-1984;from 1969;1980-1984;APA PsycArticles|
Q1;All;Discover;None;from 2001;1986-1999;EBSCO MAS Complete|
ML1;Trenton Tubbs;Down Beat;None;None;1989-2008;None
QE1;All;Earth Science;None;None;1980-1990;None
DS801;All;The East;None;None;1987-2008;None
DR1;Elizabeth Torres;East European Quarterly;1994-1995;1994-2008;1987-1995;EBSCO MasterFILE Complete|
QH540;Lydia Lee;Ecologist;1994-2007;1994-2012;1994-2007;Science Reference Center|Academic OneFile|
HC101;Crystal Boyce;Economic Indicators;1993-1998;from 1991;1993-1998;Business Source Complete|
HB1;Crystal Boyce;Economic Inquiry;1989-1989;1989-2017;1987-1989;Business Insights: Global|
BUSINESS AND ECONOMICS - ECONOMIC SITUATION AND CONDITIONS;Crystal Boyce;Economist, The;1988-2008;from 1988;1984-2008;Biography in Context|
PN4700;Crystal Boyce;Editor and Publisher;1994-2008;from 1991;1994-2008;Biography in Context|
L11;Lisa Hausman;Education Digest;1994-1997;from 1990;1994-1997;Academic Search Complete|
L11;Lisa Hausman;Education Week;1995-2008;from 1995;1987-2008;Academic OneFile|
LB2805;Lisa Hausman;Educational Administration Quarterly;None;from 1999;1987-1998;SAGE Premier 2018|
BF1;Tim Martin;Educational and Psychological Measurement;1997-1998;1997-1998 from 1999;1988-1998;Europe PubMed Central|PubMed Central fulltext only|
LB1028;Lisa Hausman;Educational Evaluation and Policy Analysis;None;from 1999;1987-1998;SAGE Premier 2018|
LJ75;Lisa Hausman;Educational Forum, The;None;from 1998;1987-1996;Taylor & Francis Journals Current Content (1997-present)|
LB2341;Lisa Hausman;The Educational Record;None;None;1988-1997;None
L11;Lisa Hausman;Educational Theory;1996-1996;1996-2017;1987-1996;Psychology and Behavioral Sciences Collection|
LB2395.7;Lisa Hausman;EDUCAUSE Quarterly;None;None;2000-2008;None
LB2300;Lisa Hausman;EDUCAUSE Review;None;None;2000-2002;None
LB2300;Lisa Hausman;Educause Review;1995-1999;1995-1999;1989-1999;Professional Development Collection|
HN1;All;Ekistics;None;None;1993-1998;None
HD9696.A3;All;Electronic Business;1988-1993 1997-2001;1988-1993 1997-2006;1988-1993 1997-2001;Business Insights: Global|Business Insights: Global|
HD9696.A3;All;Electronic Business;1988-1993 1997-2001;1988-1993 1997-2006;1988-1993 1997-2001;Business Insights: Global|Business Insights: Global|
HD9696.A3;All;Electronic Business Today;1995-1997;1995-1997;1995-1997;General OneFile|
LB1028.5;Lisa Hausman;Electronic Learning;1988-1997;1988-1997;1987-1997;Academic OneFile|
Electronics;All;Electronic News;1999-2002;1991-2002;1999-2007;General OneFile|
HD7106.U5;Crystal Boyce;Employee Benefit Plan Review;1996-2001 2003-2003;1996-2001 from 2003;1993-2003;General OneFile|General OneFile|
K5;Crystal Boyce;Employee Relations Law Journal;1989-2002;from 1989;1988-2002;Business Insights: Global|
BUSINESS AND ECONOMICS - LABOR AND INDUSTRIAL RELATIONS;Crystal Boyce;Employment & Earnings;1997-2001;1997-2008;1996-2001;Business Source Complete|Academic OneFile|
HD4903.5.U58;Crystal Boyce;Employment Relations Today;1996-2007;1991-2017;1996-2007;Business Insights: Global|Business Source Complete|
DA20;Trenton Tubbs;English Historical Review, The;1988-2000;1886-2017;1988-2000;JSTOR Arts & Sciences II Collection|Literature Resource Center|
PE1;Ruth Hanlon;English Journal, The;None;1912-1922;1989-2008;JSTOR Free Early Journal Content|
PE1001;Ruth Hanlon;English Today;None;2001-2017;1988-1996;Cambridge Journals All titles|
HF5001;Crystal Boyce;Entrepreneur;1996-2003;from 1996;1996-2003;Student Resources in Context|Business Source Complete|
UF767;Lydia Lee;Environment;1975-2002;from 1975;1970-2002;EBSCO MasterFILE Complete|Taylor & Francis Journals Current Content (1997-present)|
UF767;Lydia Lee;Environment;1975-2002;from 1975;1970-2002;Sustainability Reference Center|Taylor & Francis Journals Current Content (1997-present)|
HM206;Tim Martin;Environment and Behavior;1997-1998;1997-1998 from 1999;1987-1998;General OneFile|SAGE Premier 2018|
HC110.E5;Lydia Lee;Environmental Action;1990-1990;1990-1996;1980-1990;EBSCO MasterFILE Complete|
GF80;Lydia Lee;Environmental Ethics;None;None;1994-2007;None
TD194;Lydia Lee;Environmental Quality Management;1996-2002;1996-2017;1996-2002;Business Source Complete|
AP2;All;Esquire;1996-2008;from 1996;1982-2008;Biography in Context|General OneFile|
PR1;Elizabeth Torres;Essays in Criticism;None;1997-1998 2006-2007;1988-1995;Project Muse Journals Standard Collection|Academic OneFile|
BUSINESS AND ECONOMICS - INTERNATIONAL COMMERCE;Crystal Boyce;Euromoney;1987-2007;from 1986;1987-2007;Business Source Complete|
HD9525.A2;Crystal Boyce;Europe;1992-2001;1992-2002;1988-2001;General OneFile|
HV1;Elizabeth Torres;Families in Society;None;1920-1988;1990-2008;SAGE Premier 2018|
RA421;Elizabeth Torres;Family & Community Health;1999-2000;from 1999;1995-2000;Cinahl Complete|LWW Total Access Collection 2015 - Q1 with Neurology|
HC411;Crystal Boyce;Far Eastern Economic Review;None;None;1985-2008;None
HD9000.9.U5;Lisa Hausman;FDA Consumer;1989-1990;1984-2007;1989-1990;Business Source Complete|
HV9261;Elizabeth Torres;Federal Probation;None;from 1990;1987-1989;Psychology and Behavioral Sciences Collection|
PN1993;All;Film Comment;2002-2002;from 2002;1984-2002;Academic Search Complete|
Motion Pictures;All;Film Culture;1992-1996;1992-1996;1992-1996;Communication and Mass Media Complete|
