Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
P87;Crystal Boyce;Journal of Communication;All;from 1951;1971-1975; 1978-2005;Oxford University Press Journals Online
Computers;Mathew Kanekoa;The Journal of Computer Information Systems;All;from 1998;2000-2002;Taylor & Francis Journals Current Content (1997-present)
QA20.C65;Mathew Kanekoa;The Journal of Computers in Mathematics and Science Teaching;2000-2006;2000-2006;1987-2007;Educators Reference Complete
HT101;Elizabeth Torres;Journal of Contemporary Ethnography;1997-1998;1997-1998;1987-1998;General OneFile
BF728;Tim Martin;Journal of Cross-Cultural Psychology;1997-1998;1997-1998;1990-1998;General OneFile
L11;Lisa Hausman;The Journal of Experimental Education;1994-1996;1994-18 months ago;1987-1996;Psychology and Behavioral Sciences Collection
HQ1;Jerome Nicolas;Journal of Family and Economic Issues;1997-1998;1997-2017;1992-1998;SCELC Springer Nature 2016
RC954;Elizabeth Torres;Journal of Gerontological Nursing;2003-2007;2003-2010;1996-2007;Cinahl Complete
Psychology;Tim Martin;"The Journal of Humanistic Counseling, Education and Development";All;1999-2010;1999-2010;Academic Search Complete
LB1715;Lisa Hausman;The Journal of Humanistic Education and Development;1994-1999;1994-1999;1987-1999;Academic Search Complete
BF1;Tim Martin;The Journal of Humanistic Psychology;1997-1998;1997-1998;1987-1998;Academic OneFile
HF1;Crystal Boyce;Journal of International Business Studies;1990;1990-2002;1982-1990;Business Source Complete
K10;Elizabeth Torres;Journal of Law & Economics;1997-2002;from 1997;1979-2002;University of Chicago Press Journals Current Access all times
HG1507;Crystal Boyce;The Journal of Lending & Credit Risk Management;all;1996-2000;1996-2000;General OneFile
RT89;Elizabeth Torres;The Journal of Nursing Administration;1996-2001;from 1996;1995-2001;LWW Total Access Collection 2015-Q1 with Neurology
RT1;Elizabeth Torres;Journal of Nursing Education;All;1962-2010;1995-2008;Cinahl Complete
RG951;Elizabeth Torres;"Journal of Obstetric, Gynecologic, and Neonatal Nursing";All;1997-2015;1996-2007;Wiley Online Library 2015
QA76.9.M3;Mathew Kanekoa;Journal of Organizational and End User Computing;All;2004-2016;2004-2007;Academic OneFile
HD56;Crystal Boyce;Journal of Organizational Excellence;All;2000-2006;2000-2004;Business Source Complete
BF1001;Tim Martin;The Journal of Parapsychology;1992-1993;from 1992;1987-1993;General OneFile
PN1993;Ruth Hanlon;Journal of Popular Film & Television;1990-1998;from 1990;1988-1998;Communication and Mass Media Complete
Business & Economics;Crystal Boyce;Journal of Portfolio Management;2000-2001;2000-545 days ago;1988-2001;Business Insights: Global
HQ768;Jerome Nicolas;The Journal of Psychohistory;2007;from 2007;1986-2007;Academic Search Complete
RC440;Elizabeth Torres;Journal of Psychosocial Nursing & Mental Health Services;2003-2008;2003-2010;1995-2008;Cinahl Complete
HV6001;Elizabeth Torres;The Journal of Research in Crime and Delinquency;1997-1998;1997-1998;1990-1998;Academic OneFile
